iter	Passed	Remaining
470	707	794
471	708	792
472	709	790
473	710	788
474	712	786
475	713	785
476	714	783
477	715	781
478	716	779
479	718	777
480	719	775
481	720	774
482	721	772
483	722	770
484	724	768
485	725	767
486	726	765
487	727	763
488	728	761
489	730	759
490	731	758
491	732	756
492	733	754
493	735	752
494	736	751
495	737	749
496	738	747
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	746	737
503	747	735
504	748	733
505	749	731
506	750	730
507	751	728
508	753	726
509	754	724
510	755	723
511	756	721
512	758	719
513	759	717
514	760	716
515	761	714
516	762	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	704
522	770	702
523	771	700
524	772	698
525	773	697
526	774	695
527	776	693
528	777	692
529	778	690
530	779	688
531	780	687
532	782	685
533	783	683
534	784	682
535	786	680
536	787	678
537	788	677
538	789	675
539	791	673
540	792	672
541	793	670
542	794	668
543	796	667
544	797	665
545	798	664
546	800	662
547	801	661
548	802	659
549	803	657
550	805	656
551	806	654
552	807	652
553	809	651
554	810	649
555	811	648
556	813	646
557	814	645
558	815	643
559	816	641
560	817	640
561	819	638
562	820	636
563	821	635
564	822	633
565	824	632
566	825	630
567	826	628
568	828	627
569	829	625
570	831	624
571	832	622
572	833	621
573	834	619
574	836	618
575	837	616
576	838	614
577	839	613
578	841	611
579	842	610
580	843	608
581	845	607
582	847	606
583	848	604
584	850	603
585	851	601
586	852	599
587	853	598
588	854	596
589	856	594
590	857	593
591	858	591
592	860	590
593	862	589
594	863	587
595	864	586
596	865	584
597	867	582
598	868	581
599	869	579
600	871	578
601	872	576
602	873	575
603	874	573
604	876	572
605	877	570
606	878	568
607	879	567
608	881	565
609	882	564
610	883	562
611	885	561
612	886	559
613	887	557
614	888	556
615	890	554
616	891	553
617	892	551
618	893	550
619	895	548
620	896	547
621	897	545
622	898	543
623	900	542
624	901	540
625	902	539
626	904	537
627	905	536
628	906	534
629	907	533
630	909	531
631	910	530
632	911	528
633	912	527
634	914	525
635	915	523
636	916	522
637	917	520
638	919	519
639	920	517
640	921	516
641	922	514
642	924	513
643	925	511
644	926	510
645	927	508
646	929	506
647	930	505
648	931	503
649	933	502
650	934	500
651	935	499
652	936	497
653	938	496
654	939	494
655	940	493
656	941	491
657	943	490
658	944	488
659	945	487
660	946	485
661	948	484
662	949	482
663	950	481
664	952	479
665	953	478
666	954	476
667	956	475
668	957	473
669	958	472
670	960	470
671	961	469
672	962	467
673	964	466
674	965	464
675	966	463
676	968	461
677	969	460
678	970	458
679	972	457
680	973	455
681	974	454
682	975	452
683	977	451
684	978	450
685	979	448
686	981	447
687	982	445
688	984	444
689	985	442
690	986	441
691	988	439
692	989	438
693	990	436
694	991	435
695	993	433
696	994	432
697	995	430
698	997	429
699	998	427
700	1000	426
701	1001	425
702	1003	423
703	1004	422
704	1005	420
705	1007	419
706	1008	417
707	1009	416
708	1011	415
709	1012	413
710	1013	412
711	1015	410
712	1016	409
713	1017	407
714	1019	406
715	1020	404
716	1021	403
717	1023	401
718	1024	400
719	1025	398
720	1027	397
721	1028	396
722	1029	394
723	1031	393
724	1032	391
725	1033	390
726	1035	388
727	1036	387
728	1037	385
729	1039	384
730	1040	382
731	1041	381
732	1043	379
733	1044	378
734	1045	376
735	1046	375
736	1048	374
737	1049	372
738	1050	371
739	1052	369
740	1053	368
741	1054	366
742	1056	365
743	1057	363
744	1058	362
745	1060	360
746	1061	359
747	1062	358
748	1064	356
749	1065	355
750	1066	353
751	1068	352
752	1069	350
753	1070	349
754	1072	347
755	1073	346
756	1074	345
757	1076	343
758	1077	342
759	1078	340
760	1080	339
761	1081	337
762	1082	336
763	1084	334
764	1085	333
765	1086	332
766	1088	330
767	1089	329
768	1090	327
769	1092	326
770	1093	324
771	1095	323
772	1096	322
773	1098	320
774	1099	319
775	1100	317
776	1102	316
777	1103	314
778	1104	313
779	1106	312
780	1108	310
781	1109	309
782	1110	307
783	1112	306
784	1113	305
785	1115	303
786	1116	302
787	1117	300
788	1119	299
789	1120	297
790	1121	296
791	1123	295
792	1125	293
793	1126	292
794	1128	290
795	1129	289
796	1131	288
797	1132	286
798	1133	285
799	1135	283
800	1137	282
801	1138	281
802	1139	279
803	1141	278
804	1142	276
805	1143	275
806	1145	273
807	1146	272
808	1147	271
809	1149	269
810	1150	268
811	1151	266
812	1153	265
813	1154	263
814	1155	262
815	1157	260
816	1158	259
817	1160	258
818	1161	256
819	1162	255
820	1164	253
821	1165	252
822	1166	250
823	1168	249
824	1169	248
825	1170	246
826	1172	245
827	1173	243
828	1175	242
829	1176	240
830	1177	239
831	1179	238
832	1180	236
833	1181	235
834	1183	233
835	1184	232
836	1185	230
837	1187	229
838	1188	228
839	1189	226
840	1191	225
841	1192	223
842	1193	222
843	1195	220
844	1196	219
845	1197	218
846	1199	216
847	1200	215
848	1201	213
849	1203	212
850	1204	210
851	1205	209
852	1207	208
853	1208	206
854	1209	205
855	1211	203
856	1212	202
857	1213	200
858	1215	199
859	1216	198
860	1217	196
861	1218	195
862	1220	193
863	1221	192
864	1222	190
865	1224	189
866	1225	188
867	1227	186
868	1228	185
869	1229	183
870	1231	182
871	1232	180
872	1234	179
873	1235	178
874	1236	176
875	1238	175
876	1239	173
877	1240	172
878	1242	171
879	1243	169
880	1245	168
881	1246	166
882	1247	165
883	1249	163
884	1250	162
885	1251	161
886	1253	159
887	1254	158
888	1255	156
889	1257	155
890	1258	153
891	1259	152
892	1261	151
893	1262	149
894	1263	148
895	1265	146
896	1266	145
897	1267	144
898	1269	142
899	1270	141
900	1271	139
901	1273	138
902	1274	136
903	1276	135
904	1277	134
905	1279	132
906	1280	131
907	1281	129
908	1283	128
909	1284	127
910	1285	125
911	1287	124
912	1288	122
913	1289	121
914	1290	119
915	1292	118
916	1293	117
917	1294	115
918	1296	114
919	1297	112
920	1298	111
921	1300	109
922	1301	108
923	1302	107
924	1304	105
925	1305	104
926	1306	102
927	1308	101
928	1309	100
929	1310	98
930	1312	97
931	1313	95
932	1314	94
933	1316	93
934	1317	91
935	1318	90
936	1320	88
937	1321	87
938	1322	85
939	1324	84
940	1325	83
941	1327	81
942	1328	80
943	1329	78
